Order_ID,Order_Date,Product_ID,Quantity_Sold,Store_Region,Unit_Price,Line_Revenue,Product_Category,Current_Stock_Level,Reorder_Point,Supplier_Name,Lead_Time_Days,Inventory_Turnover_Rate,Stockout_Risk_Flag,ABC_Classification
ORD-01001,2026-05-09,PROD-002,3.0,NORTH,148.42307232669762,445.2692169800929,Apparel,165,64,Gamma Corp,2,1.32,0,A
ORD-01002,2026-05-01,PROD-007,3.0,NORTH,182.99469188414812,548.9840756524444,Electronics,63,18,Alpha Logistics,16,2.59,0,B
ORD-01003,2026-01-27,PROD-018,6.0,WEST,448.1062082412929,2688.6372494477573,Apparel,25,54,Gamma Corp,12,7.64,1,A
ORD-01004,2026-05-01,PROD-027,3.0,NORTH,473.7636914436987,1421.291074331096,Home Appliances,268,79,Gamma Corp,13,0.69,0,A
ORD-01005,2026-04-26,PROD-002,2.0,SOUTH,447.3535314683725,894.707062936745,Apparel,165,64,Gamma Corp,2,1.32,0,A
ORD-01006,2026-01-03,PROD-027,5.0,NORTH,215.5295170390837,1077.6475851954185,Home Appliances,268,79,Gamma Corp,13,0.69,0,A
ORD-01007,2026-04-13,PROD-017,5.0,NORTH,392.379096473372,1961.89548236686,Apparel,139,76,Alpha Logistics,16,1.62,0,A
ORD-01008,2026-06-04,PROD-011,1.0,WEST,243.4045093175384,243.4045093175384,Office Supplies,194,58,Gamma Corp,8,0.71,0,A
ORD-01009,2026-05-17,PROD-027,3.0,NORTH,253.79452755159008,761.3835826547702,Home Appliances,268,79,Gamma Corp,13,0.69,0,A
ORD-01010,2026-03-03,PROD-012,8.0,SOUTH,110.29325343806914,882.3460275045531,Office Supplies,179,48,Beta Manufacturing,18,1.24,0,A
ORD-01011,2026-06-14,PROD-027,4.0,EAST,299.6538485966731,1198.6153943866923,Home Appliances,268,79,Gamma Corp,13,0.69,0,A
ORD-01012,2026-02-20,PROD-019,7.0,NORTH,101.20658989914048,708.4461292939834,Apparel,171,67,Gamma Corp,5,0.87,0,B
ORD-01013,2026-06-21,PROD-022,2.0,EAST,172.4667025429249,344.9334050858498,Electronics,18,74,Gamma Corp,3,9.67,1,B
ORD-01014,2026-06-01,PROD-024,7.0,NORTH,428.9647987937682,3002.753591556377,Apparel,269,43,Gamma Corp,14,0.69,0,A
