Order_ID,Order_Date,Product_ID,Quantity_Sold,Store_Region,Unit_Price
ORD-01001,05/09/2026,PROD-002,3.0,North,148.42307232669762
ORD-01002,2026-05-01,PROD-007,3.0,North,182.99469188414815
ORD-01003,2026-01-27,PROD-018,6.0,WEST,448.10620824129285
ORD-01004,2026-05-01,PROD-027,3.0,NORTH,473.7636914436987
ORD-01005,2026-04-26,PROD-002,2.0,South,447.3535314683725
ORD-01006,2026-01-03,PROD-027,,NORTH,215.52951703908366
ORD-01007,2026-04-13,PROD-017,5.0,NORTH,392.37909647337204
ORD-01008,2026-06-04,PROD-011,1.0,WEST,243.4045093175384
ORD-01009,2026-05-17,PROD-027,3.0,NORTH,253.79452755159008
ORD-01010,2026-03-03,PROD-012,8.0,South,110.29325343806914
ORD-01011,06/14/2026,PROD-027,4.0,East,299.6538485966731
ORD-01012,2026-02-20,PROD-019,7.0,North,101.20658989914048
ORD-01013,2026-06-21,PROD-022,2.0,East,172.46670254292493
ORD-01014,2026-06-01,PROD-024,7.0,NORTH,428.96479879376824
ORD-01015,2026-02-28,PROD-025,5.0,East,111.46714651331907
ORD-01016,2026-04-28,PROD-007,5.0,South,44.86755973498208
ORD-01017,2026-06-09,PROD-020,6.0,South,43.81372038027999
ORD-01018,2026-04-06,PROD-006,9.0,NORTH,470.9844150465229
ORD-01019,2026-06-29,PROD-021,6.0,WEST,258.39101460129893
ORD-01020,2026-04-23,PROD-024,8.0,East,210.61191519033898
ORD-01021,03/03/2026,PROD-001,7.0,WEST,407.33050469388
ORD-01022,2026-02-21,PROD-017,9.0,WEST,419.5547046761528
ORD-01023,2026-01-12,PROD-029,4.0,south,172.77360622664625
ORD-01024,2026-02-08,PROD-011,2.0,NORTH,349.87284816215964
ORD-01025,2026-05-10,PROD-022,7.0,North,387.85017976742444
ORD-01026,2026-05-11,PROD-026,6.0,South,330.7788365643177
ORD-01027,2026-04-23,PROD-028,1.0,South,84.28158665204869
ORD-01028,2026-04-11,PROD-018,9.0,NORTH,439.18271092335794
ORD-01029,2026-04-23,PROD-021,9.0,North,274.1563308406443
ORD-01030,2026-03-22,PROD-017,2.0,South,148.4114889213018
ORD-01031,04/23/2026,PROD-007,3.0,NORTH,218.36181086447002
ORD-01032,2026-01-02,PROD-017,5.0,South,28.409834295464616
ORD-01033,2026-05-10,PROD-020,5.0,WEST,72.6547325989846
ORD-01034,2026-02-23,PROD-009,1.0,East,385.1179077527718
ORD-01035,2026-03-28,PROD-017,8.0,East,10.005701030129408
ORD-01036,2026-05-09,PROD-020,8.0,South,214.11725595632316
ORD-01037,2026-05-27,PROD-022,4.0,south,266.0299887319383
ORD-01038,2026-05-06,PROD-022,7.0,North,36.77086580047643
ORD-01039,2026-05-10,PROD-028,3.0,North,486.8082998564431
ORD-01040,2026-02-22,PROD-029,6.0,North,120.80141231233925
ORD-01041,06/21/2026,PROD-008,9.0,WEST,159.05737262177763
ORD-01042,2026-06-09,PROD-017,1.0,North,158.93183100496339
ORD-01043,2026-06-09,PROD-007,5.0,East,122.90416443750145
ORD-01044,2026-03-09,PROD-001,4.0,WEST,10.722172822292594
ORD-01045,2026-05-03,PROD-013,8.0,NORTH,367.3789491031182
ORD-01046,2026-05-25,PROD-030,1.0,North,483.7542949016498
ORD-01047,2026-02-07,PROD-023,9.0,North,119.90380680967208
ORD-01048,2026-01-24,PROD-019,6.0,NORTH,334.89312398367696
ORD-01049,2026-03-10,PROD-027,4.0,North,373.5292002097704
ORD-01050,2026-04-26,PROD-024,9.0,NORTH,425.7284357543571
ORD-01051,04/08/2026,PROD-019,5.0,WEST,217.08830653666848
ORD-01052,2026-05-19,PROD-030,5.0,East,158.43614376381032
ORD-01053,2026-05-24,PROD-030,5.0,NORTH,169.39461567128524
ORD-01054,2026-04-07,PROD-029,1.0,south,359.1844532182713
ORD-01055,2026-05-04,PROD-017,1.0,NORTH,410.22193858776166
ORD-01056,2026-03-11,PROD-013,8.0,North,98.9908442007353
ORD-01057,2026-04-03,PROD-029,8.0,WEST,191.76109399730495
ORD-01058,2026-01-03,PROD-030,6.0,South,451.9506964070835
ORD-01059,2026-05-28,PROD-016,4.0,WEST,405.2798246504222
ORD-01060,2026-06-13,PROD-008,2.0,South,492.58061735361315
ORD-01061,05/27/2026,PROD-019,2.0,NORTH,379.5816472442196
ORD-01062,2026-03-31,PROD-018,9.0,East,202.66564850368192
ORD-01063,2026-05-27,PROD-001,5.0,south,299.4125386573725
ORD-01064,2026-05-28,PROD-014,4.0,WEST,333.8969845811869
ORD-01065,2026-04-06,PROD-019,1.0,North,48.44334999539073
ORD-01066,2026-02-21,PROD-015,7.0,South,276.8035099608939
ORD-01067,2026-06-10,PROD-018,3.0,North,357.56720595157867
ORD-01068,2026-06-17,PROD-002,6.0,East,91.98743896051958
ORD-01069,2026-05-08,PROD-022,5.0,South,392.509541538523
ORD-01070,2026-02-08,PROD-028,5.0,WEST,296.0486624519147
ORD-01071,03/23/2026,PROD-017,5.0,NORTH,476.5886749918214
ORD-01072,2026-04-14,PROD-018,1.0,North,30.78692612137693
ORD-01073,2026-05-09,PROD-030,1.0,East,140.0098074021788
ORD-01074,2026-01-11,PROD-006,3.0,WEST,304.7614008569138
ORD-01075,2026-06-27,PROD-019,4.0,WEST,155.31435698090604
ORD-01076,2026-05-31,PROD-004,5.0,WEST,360.06784039490867
